franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
PHI,dykstle01,Lenny Dykstra,OF,25.9,1989,1996
PHI,victosh01,Shane Victorino,OF,24,2005,2012
PIT,bondsba01,Barry Bonds,OF,50.3,1986,1992
PIT,mccutan01,Andrew McCutchen,OF,42.6,2009,2025
PIT,vanslan01,Andy Van Slyke,OF,31,1987,1994
PIT,martest01,Starling Marte,OF,28.2,2012,2019
PIT,gilesbr02,Brian Giles,OF,26.1,1999,2003
SDP,gwynnto01,Tony Gwynn,OF,69.2,1982,2001
SDP,tatisfe02,Fernando Tatis Jr.,OF,27.2,2019,2025
SDP,winfida01,Dave Winfield,OF,21.9,1977,1980
SDP,richage01,Gene Richards,OF,19,1977,1983
SDP,gilesbr02,Brian Giles,OF,17.4,2003,2009
SEA,griffke02,Ken Griffey Jr.,OF,70.6,1989,2010
SEA,suzukic01,Ichiro Suzuki,OF,56.4,2001,2019
SEA,buhneja01,Jay Buhner,OF,23,1988,2001
SEA,rodriju01,Julio Rodríguez,OF,22.9,2022,2025
SEA,camermi01,Mike Cameron,OF,18.4,2000,2003
SFG,bondsba01,Barry Bonds,OF,112.5,1993,2007
SFG,clarkja01,Jack Clark,OF,30,1977,1984
SFG,mitchke01,Kevin Mitchell,OF,19.2,1987,1991
SFG,davisch01,Chili Davis,OF,17.1,1981,1987
SFG,yastrmi01,Mike Yastrzemski,OF,16,2019,2025
STL,edmonji01,Jim Edmonds,OF,37.9,2000,2007
STL,lankfra01,Ray Lankford,OF,37.7,1990,2004
STL,mcgeewi01,Willie McGee,OF,25.7,1982,1999
STL,hollima01,Matt Holliday,OF,23,2009,2016
STL,jordabr01,Brian Jordan,OF,20.1,1992,1998
TBR,crawfca02,Carl Crawford,OF,35.6,2002,2010
TBR,kiermke01,Kevin Kiermaier,OF,31.5,2013,2022
TBR,uptonbj01,B.J. Upton,OF,15.6,2004,2012
TBR,jennide01,Desmond Jennings,OF,13.4,2010,2016
TBR,arozara01,Randy Arozarena,OF,11.7,2020,2024
TEX,gonzaju03,Juan González,OF,31.9,1989,2003
TEX,hamiljo03,Josh Hamilton,OF,23,2008,2015
TEX,greerru01,Rusty Greer,OF,22.4,1994,2002
TEX,sierrru01,Rubén Sierra,OF,20.2,1986,2003
TEX,garciad02,Adolis García,OF,15.2,2020,2025
TOR,bautijo02,José Bautista,OF,38.4,2008,2017
TOR,barfije01,Jesse Barfield,OF,29.5,1981,1989
TOR,wellsve01,Vernon Wells,OF,28.7,1999,2010
TOR,mosebll01,Lloyd Moseby,OF,26,1980,1989
TOR,whitede03,Devon White,OF,22.3,1991,1995
WSN,raineti01,Tim Raines,OF,49.2,1979,2001
WSN,dawsoan01,Andre Dawson,OF,48.7,1977,1986
WSN,guerrvl01,Vladimir Guerrero,OF,34.7,1996,2003
WSN,harpebr03,Bryce Harper,OF,27.7,2012,2018
WSN,sotoju01,Juan Soto,OF,21.4,2018,2022
