franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,johnsra05,Randy Johnson,P,52.6,1999,2008
ARI,webbbr01,Brandon Webb,P,33,2003,2009
ARI,schilcu01,Curt Schilling,P,25.9,2000,2003
ARI,galleza01,Zac Gallen,P,19.4,2019,2025
ARI,kellyme01,Merrill Kelly,P,16.6,2019,2025
ATL,spahnwa01,Warren Spahn,P,91.9,1942,1964
ATL,niekrph01,Phil Niekro,P,89.6,1964,1987
ATL,smoltjo01,John Smoltz,P,66.9,1988,2008
ATL,maddugr01,Greg Maddux,P,66.2,1993,2003
ATL,glavito02,Tom Glavine,P,58.7,1987,2008
BAL,palmeji01,Jim Palmer,P,67.6,1965,1984
BAL,mussimi01,Mike Mussina,P,47.7,1991,2000
BAL,shockur01,Urban Shocker,P,39,1918,1924
BAL,powelja01,Jack Powell,P,31.5,1902,1912
BAL,mcnalda01,Dave McNally,P,25.3,1962,1974
BOS,clemero02,Roger Clemens,P,80.8,1984,1996
BOS,youngcy01,Cy Young,P,64.5,1901,1908
BOS,martipe02,Pedro Martínez,P,53.8,1998,2004
BOS,grovele01,Lefty Grove,P,44.9,1934,1941
BOS,tiantlu01,Luis Tiant,P,35.9,1971,1978
CHC,jenkife01,Fergie Jenkins,P,52.9,1966,1983
CHC,reuscri01,Rick Reuschel,P,48.3,1972,1984
CHC,brownmo01,Mordecai Brown,P,47.9,1904,1916
CHC,alexape01,Grover Alexander,P,41.1,1918,1926
CHC,vaughhi01,Hippo Vaughn,P,40.1,1913,1921
CHW,faberre01,Red Faber,P,67.4,1914,1933
CHW,lyonste01,Ted Lyons,P,66.8,1923,1946
CHW,walshed01,Ed Walsh,P,64.6,1904,1916
CHW,woodwi01,Wilbur Wood,P,51.7,1967,1978
CHW,cicoted01,Eddie Cicotte,P,50,1912,1920
CIN,rixeyep01,Eppa Rixey,P,40.9,1921,1933
CIN,luquedo01,Dolf Luque,P,38.3,1918,1929
CIN,waltebu01,Bucky Walters,P,37.8,1938,1948
CIN,rijojo01,José Rijo,P,36.4,1988,2002
CIN,malonji01,Jim Maloney,P,34.4,1960,1970
CLE,fellebo01,Bob Feller,P,65.2,1936,1956
CLE,covelst01,Stan Coveleski,P,57.1,1916,1924
CLE,hardeme01,Mel Harder,P,48.5,1928,1947
CLE,jossad01,Addie Joss,P,47.7,1902,1910
CLE,mcdowsa01,Sam McDowell,P,42.5,1961,1971
COL,freelky01,Kyle Freeland,P,19.2,2017,2025
COL,jimenub01,Ubaldo Jiménez,P,18.9,2006,2011
COL,cookaa01,Aaron Cook,P,17.1,2002,2011
COL,rosajo01,Jorge De La Rosa,P,15.5,2008,2016
COL,marquge01,Germán Márquez,P,14.8,2016,2025
DET,newhoha01,Hal Newhouser,P,58.8,1939,1953
DET,verlaju01,Justin Verlander,P,56.6,2005,2017
DET,bridgto01,Tommy Bridges,P,51.6,1930,1946
DET,lolicmi01,Mickey Lolich,P,46.7,1963,1975
DET,troutdi01,Dizzy Trout,P,44.3,1939,1952
HOU,oswalro01,Roy Oswalt,P,45.7,2001,2010
HOU,dierkla01,Larry Dierker,P,34.3,1964,1976
HOU,wilsodo01,Don Wilson,P,27.5,1966,1974
HOU,ryanno01,Nolan Ryan,P,25.4,1980,1988
HOU,scottmi03,Mike Scott,P,24.7,1983,1991
KCR,appieke01,Kevin Appier,P,47.1,1989,2004
KCR,saberbr01,Bret Saberhagen,P,40.7,1984,1991
KCR,gubicma01,Mark Gubicza,P,38,1984,1996
KCR,greinza01,Zack Greinke,P,29.8,2004,2023
KCR,leonade01,Dennis Leonard,P,25.7,1974,1986
LAA,finlech01,Chuck Finley,P,52,1986,1999
LAA,ryanno01,Nolan Ryan,P,40,1972,1979
LAA,weaveje02,Jered Weaver,P,36,2006,2016
LAA,tananfr01,Frank Tanana,P,34.3,1973,1980
LAA,langsma01,Mark Langston,P,26,1990,1997
LAD,kershcl01,Clayton Kershaw,P,78.1,2008,2025
LAD,vanceda01,Dazzy Vance,P,61.9,1922,1935
LAD,drysddo01,Don Drysdale,P,61.3,1956,1969
LAD,koufasa01,Sandy Koufax,P,53.1,1955,1966
LAD,suttodo01,Don Sutton,P,50.5,1966,1988
MIA,johnsjo09,Josh Johnson,P,25.8,2005,2012
MIA,alcansa01,Sandy Alcantara,P,20.7,2018,2025
MIA,willido03,Dontrelle Willis,P,17.2,2003,2007
MIA,brownke01,Kevin Brown,P,14.9,1996,1997
MIA,sanchan01,Aníbal Sánchez,P,14.1,2006,2012
MIL,higuete01,Teddy Higuera,P,30.3,1985,1994
MIL,sheetbe01,Ben Sheets,P,25.6,2001,2008
MIL,bosioch01,Chris Bosio,P,18.6,1986,1992
MIL,woodrbr01,Brandon Woodruff,P,18,2017,2025
MIL,wegmabi01,Bill Wegman,P,17.8,1985,1995
MIN,johnswa01,Walter Johnson,P,155.1,1907,1927
MIN,blylebe01,Bert Blyleven,P,49.1,1970,1988
MIN,radkebr01,Brad Radke,P,45.6,1995,2006
MIN,santajo02,Johan Santana,P,35.8,2000,2007
MIN,pascuca02,Camilo Pascual,P,33.2,1954,1966
NYM,seaveto01,Tom Seaver,P,76.1,1967,1983
NYM,goodedw01,Dwight Gooden,P,41.6,1984,1994
NYM,degroja01,Jacob deGrom,P,41.2,2014,2022
NYM,koosmje01,Jerry Koosman,P,39.5,1967,1978
NYM,leiteal01,Al Leiter,P,28,1998,2004
NYY,riverma01,Mariano Rivera,P,56.3,1995,2013
NYY,fordwh01,Whitey Ford,P,53.5,1950,1967
NYY,pettian01,Andy Pettitte,P,51.3,1995,2013
NYY,guidrro01,Ron Guidry,P,47.9,1975,1988
NYY,ruffire01,Red Ruffing,P,46.5,1930,1946
OAK,planked01,Eddie Plank,P,74.5,1901,1914
OAK,grovele01,Lefty Grove,P,68.4,1925,1933
OAK,rommeed01,Eddie Rommel,P,50.3,1920,1932
OAK,wadderu01,Rube Waddell,P,46.3,1902,1907
OAK,bendech01,Charles Bender,P,42,1903,1914
PHI,roberro01,Robin Roberts,P,69.8,1948,1961
PHI,carltst01,Steve Carlton,P,64.6,1972,1986
PHI,alexape01,Grover Alexander,P,60.6,1911,1930
PHI,hamelco01,Cole Hamels,P,42,2006,2015
PHI,schilcu01,Curt Schilling,P,36.8,1992,2000
PIT,adamsba01,Babe Adams,P,50.5,1907,1926
PIT,coopewi01,Wilbur Cooper,P,47.9,1912,1924
PIT,frienbo01,Bob Friend,P,47.6,1951,1965
PIT,candejo01,John Candelaria,P,32,1975,1993
PIT,leevesa01,Sam Leever,P,28.6,1901,1910
SDP,hoffmtr01,Trevor Hoffman,P,26,1993,2008
SDP,peavyja01,Jake Peavy,P,24.8,2002,2009
SDP,ashbyan01,Andy Ashby,P,22.8,1993,2004
SDP,benesan01,Andy Benes,P,20.8,1989,1995
SDP,jonesra01,Randy Jones,P,20.7,1973,1980
SEA,hernafe02,Félix Hernández,P,49.9,2005,2019
SEA,johnsra05,Randy Johnson,P,39,1989,1998
SEA,moyerja01,Jamie Moyer,P,34.2,1996,2006
SEA,langsma01,Mark Langston,P,19.2,1984,1989
SEA,garcifr03,Freddy García,P,18.6,1999,2004
SFG,mathech01,Christy Mathewson,P,101.4,1901,1916
SFG,hubbeca01,Carl Hubbell,P,68.8,1928,1943
SFG,maricju01,Juan Marichal,P,62.4,1960,1973
SFG,perryga01,Gaylord Perry,P,36.9,1962,1971
SFG,mcginjo01,Joe McGinnity,P,33.6,1902,1908
STL,gibsobo01,Bob Gibson,P,81.7,1959,1975
STL,wainwad01,Adam Wainwright,P,41,2005,2023
STL,deandi01,Dizzy Dean,P,39.9,1930,1937
STL,brechha01,Harry Brecheen,P,38.5,1940,1952
STL,haineje01,Jesse Haines,P,35.5,1920,1937
TBR,priceda01,David Price,P,21.3,2008,2014
