franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
PIT,kendaja01,Jason Kendall,C,25,1998,2004
PIT,martiru01,Russell Martin,C,9.8,2013,2014
PIT,cervefr01,Francisco Cervelli,C,8.8,2015,2019
PIT,doumiry01,Ryan Doumit,C,7.9,2005,2011
PIT,stallja01,Jacob Stallings,C,5.8,2016,2021
SDP,hernara02,Ramón Hernández,C,5.6,2004,2005
SDP,hundlni01,Nick Hundley,C,5,2008,2014
SDP,grandya01,Yasmani Grandal,C,4.3,2012,2014
SDP,bardjo01,Josh Bard,C,3.1,2006,2008
SDP,riverre01,René Rivera,C,3.1,2013,2014
SEA,raleica01,Cal Raleigh,C,18.8,2021,2025
SEA,zuninmi01,Mike Zunino,C,7,2013,2018
SEA,johjike01,Kenji Johjima,C,5.3,2006,2009
SEA,murphto04,Tom Murphy,C,5.2,2019,2023
SEA,wilsoda01,Dan Wilson,C,4.6,1998,2005
SFG,poseybu01,Buster Posey,C,45,2009,2021
SFG,santibe01,Benito Santiago,C,4.6,2001,2003
SFG,bailepa01,Patrick Bailey,C,3.7,2023,2025
SFG,molinbe01,Bengie Molina,C,2.6,2007,2010
SFG,estalbo02,Bobby Estalella,C,2.5,2000,2001
STL,molinya01,Yadier Molina,C,41.7,2004,2022
STL,contrwi01,Willson Contreras,C,8.7,2023,2025
STL,herreiv01,Iván Herrera,C,4,2022,2025
STL,marreel01,Eli Marrero,C,2.7,1998,2003
STL,mathemi01,Mike Matheny,C,1.6,2000,2004
TBR,hallto02,Toby Hall,C,5.7,2000,2006
TBR,jasojo01,John Jaso,C,4,2008,2015
TBR,zuninmi01,Mike Zunino,C,2.6,2019,2022
TBR,mejiafr01,Francisco Mejia,C,2.3,2021,2023
TBR,navardi01,Dioner Navarro,C,1.9,2006,2010
TEX,rodriiv01,Iván Rodríguez,C,25.3,1998,2009
TEX,chiriro01,Robinson Chirinos,C,8.5,2013,2020
TEX,heimjo01,Jonah Heim,C,6.9,2021,2025
TEX,lairdge01,Gerald Laird,C,5.8,2003,2008
TEX,barajro01,Rod Barajas,C,3,2004,2006
TOR,kirkal01,Alejandro Kirk,C,11.3,2020,2025
TOR,zaungr01,Gregg Zaun,C,10.7,2004,2008
TOR,janseda01,Danny Jansen,C,8.6,2018,2024
TOR,martiru01,Russell Martin,C,8.1,2015,2018
TOR,fletcda01,Darrin Fletcher,C,4.9,1998,2002
WSN,ramoswi01,Wilson Ramos,C,10.6,2010,2016
WSN,schnebr01,Brian Schneider,C,6.7,2000,2007
WSN,ruizke01,Keibert Ruiz,C,4.8,2021,2025
WSN,gomesya01,Yan Gomes,C,4.2,2019,2021
WSN,adamsri03,Riley Adams,C,2.5,2021,2025
