franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
PHI,callijo01,Johnny Callison,OF,39.5,1960,1969
PHI,kleinch01,Chuck Klein,OF,37,1928,1944
PIT,clemero01,Roberto Clemente,OF,95,1955,1972
PIT,wanerpa01,Paul Waner,OF,70.1,1926,1940
PIT,stargwi01,Willie Stargell,OF,57.6,1962,1982
PIT,careyma01,Max Carey,OF,53.5,1910,1926
PIT,bondsba01,Barry Bonds,OF,50.3,1986,1992
SDP,gwynnto01,Tony Gwynn,OF,69.2,1982,2001
SDP,winfida01,Dave Winfield,OF,32,1973,1980
SDP,tatisfe02,Fernando Tatis Jr.,OF,27.2,2019,2025
SDP,richage01,Gene Richards,OF,19,1977,1983
SDP,gilesbr02,Brian Giles,OF,17.4,2003,2009
SEA,griffke02,Ken Griffey Jr.,OF,70.6,1989,2010
SEA,suzukic01,Ichiro Suzuki,OF,56.4,2001,2019
SEA,buhneja01,Jay Buhner,OF,23,1988,2001
SEA,rodriju01,Julio Rodríguez,OF,22.9,2022,2025
SEA,camermi01,Mike Cameron,OF,18.4,2000,2003
SFG,mayswi01,Willie Mays,OF,154.6,1951,1972
SFG,bondsba01,Barry Bonds,OF,112.5,1993,2007
SFG,ottme01,Mel Ott,OF,110.9,1926,1947
SFG,bondsbo01,Bobby Bonds,OF,38.1,1968,1974
SFG,burnsge01,George Burns,OF,36.4,1911,1921
STL,musiast01,Stan Musial,OF,128.6,1941,1963
STL,slaugen01,Enos Slaughter,OF,52.7,1938,1953
STL,floodcu01,Curt Flood,OF,42.3,1958,1969
STL,brocklo01,Lou Brock,OF,41.7,1964,1979
STL,medwijo01,Joe Medwick,OF,39.7,1932,1948
TBR,crawfca02,Carl Crawford,OF,35.6,2002,2010
TBR,kiermke01,Kevin Kiermaier,OF,31.5,2013,2022
TBR,uptonbj01,B.J. Upton,OF,15.6,2004,2012
TBR,jennide01,Desmond Jennings,OF,13.4,2010,2016
TBR,arozara01,Randy Arozarena,OF,11.7,2020,2024
TEX,gonzaju03,Juan González,OF,31.9,1989,2003
TEX,howarfr01,Frank Howard,OF,26.8,1965,1972
TEX,hamiljo03,Josh Hamilton,OF,23,2008,2015
TEX,greerru01,Rusty Greer,OF,22.4,1994,2002
TEX,sierrru01,Rubén Sierra,OF,20.2,1986,2003
TOR,bautijo02,José Bautista,OF,38.4,2008,2017
TOR,barfije01,Jesse Barfield,OF,29.5,1981,1989
TOR,wellsve01,Vernon Wells,OF,28.7,1999,2010
TOR,mosebll01,Lloyd Moseby,OF,26,1980,1989
TOR,whitede03,Devon White,OF,22.3,1991,1995
WSN,raineti01,Tim Raines,OF,49.2,1979,2001
WSN,dawsoan01,Andre Dawson,OF,48.4,1976,1986
WSN,guerrvl01,Vladimir Guerrero,OF,34.7,1996,2003
WSN,harpebr03,Bryce Harper,OF,27.7,2012,2018
WSN,sotoju01,Juan Soto,OF,21.4,2018,2022
